source,target
ayuarani,hattarajasa
ayuarani,AgusYudhoyono
davi_pandu,iffiarsy
davi_pandu,AYOJakarta2017
davi_pandu,davinariana
mdyanasavitri,AYOJakarta2017
ayuarani,AYOJakarta2017
ayuarani,hattarajasa
DeckyArisandy90,AYOJakarta2017
DeckyArisandy90,AgusYudhoyono
DeckyArisandy90,sylviana_murni
DeckyArisandy90,SBYudhoyono
ayuarani,AYOJakarta2017
ayuarani,hattarajasa
ayuarani,AgusYudhoyono
ayuarani,sylviana_murni
wandaruswanda,dstyrhmn
yos_rahman,pollmarket
yos_rahman,pollmarket
duta_kurniawan,Heine_Nababan
MariaEmmanuelle,JKT_LIFE
dedenovel07,AYOJakarta2017
dedenovel07,hattarajasa
dedenovel07,SBYudhoyono
hamadihams,DeckyArisandy90
hamadihams,AYOJakarta2017
hamadihams,AgusYudhoyono
hamadihams,sylviana_murni
hamadihams,SBYudhoyono
wandaruswanda,AlfatihHs
watson_katia,PakarLogika
ayuarani,AYOJakarta2017
ayuarani,hattarajasa
ayuarani,AgusYudhoyono
ayuarani,sylviana_murni
kopicazador,mdyanasavitri
kopicazador,AYOJakarta2017
mdyanasavitri,AYOJakarta2017
risdaaayyy,AYOJakarta2017
risdaaayyy,SBYudhoyono
risdaaayyy,AgusYudhoyono
risdaaayyy,sylviana_murni
ayuarani,AYOJakarta2017
ayuarani,hattarajasa
ayuarani,AgusYudhoyono
ayuarani,sylviana_murni
dedenovel07,AYOJakarta2017
dedenovel07,hattarajasa
dedenovel07,SBYudhoyono
dedenovel07,AgusYudhoyono
ETasdid,SohibAHY
foeady6,AstoRiskon
mahardikadirga,AYOJakarta2017
mahardikadirga,SBYudhoyono
mahardikadirga,hattarajasa
mahardikadirga,AgusYudhoyono
karib_ahy,iffiarsy
karib_ahy,AYOJakarta2017
karib_ahy,davinariana
MMubaroqi,panca66
MMubaroqi,PDemokrat
risdaaayyy,AYOJakarta2017
risdaaayyy,SBYudhoyono
risdaaayyy,AgusYudhoyono
risdaaayyy,sylviana_murni
karib_ahy,lj_ican
febrian_hardi,AYOJakarta_2017
febrian_hardi,AYOJakarta2017
ZaraZettiraZZ,AstoRiskon
nurendahracm,AYOJakarta2017
ZaraZettiraZZ,AstoRiskon
ZaraZettiraZZ,AgusYudhoyono
ZaraZettiraZZ,sylviana_murni
ZaraZettiraZZ,AhyCenter
ZaraZettiraZZ,AstoRiskon
ZaraZettiraZZ,AstoRiskon
karib_ahy,mahardikadirga
karib_ahy,AYOJakarta2017
karib_ahy,SBYudhoyono
karib_ahy,hattarajasa
karib_ahy,AgusYudhoyono
ZaraZettiraZZ,AstoRiskon
dedenovel07,AYOJakarta2017
dedenovel07,hattarajasa
dedenovel07,SBYudhoyono
madsal_59,AstoRiskon
mahardikadirga,AYOJakarta2017
mahardikadirga,SBYudhoyono
mahardikadirga,hattarajasa
mahardikadirga,AgusYudhoyono
mahardikadirga,sylviana_murni
wibisono1,AstoRiskon
dhasmy3180,Heine_Nababan
risdaaayyy,AgusYudhoyono
risdaaayyy,AYOJakarta2017
febrian_hardi,AYOJakarta_2017
febrian_hardi,AYOJakarta2017
febrian_hardi,SBYudhoyono
wibisono1,AstoRiskon
mahardikadirga,AYOJakarta2017
mahardikadirga,SBYudhoyono
mahardikadirga,hattarajasa
mahardikadirga,AgusYudhoyono
mahardikadirga,sylviana_murni
am_osami,UstadTengku
am_osami,am_osami
am_osami,UstadTengku
wibisono1,AstoRiskon
wibisono1,AgusYudhoyono
wibisono1,sylviana_murni
wibisono1,AhyCenter
wibisono1,AstoRiskon
wibisono1,AstoRiskon
